metric,value,meaning
Accuracy,0.9083969465648855,全部测试样本中预测正确的比例。
Macro Precision,0.9208529218816481,先计算每类 precision 再平均，反映各类别同等权重下的误报控制能力。
Macro Recall,0.9156801086021454,先计算每类 recall 再平均，反映各类别同等权重下的漏报控制能力。
Macro F1,0.917647284441016,各类别 F1 的简单平均，更关注小类别和类别均衡表现。
Weighted Precision,0.9099002135306046,按各类别样本数加权后的 precision，更接近整体测试集分布。
Weighted Recall,0.9083969465648855,按各类别样本数加权后的 recall；多分类单标签任务中通常接近 accuracy。
Weighted F1,0.908478461860707,按各类别样本数加权后的 F1，反映整体分布下的综合性能。
ROC-AUC Macro OvR,0.9834041470778618,一对多方式计算各类别 AUC 后简单平均，衡量模型排序/区分能力。
ROC-AUC Weighted OvR,0.9822240448919587,一对多 AUC 按类别样本数加权平均，更接近真实测试集分布。
