epoch,train_loss,train_acc,val_loss,val_acc,lr,saved_best
1,0.3854981663729319,0.7861603160443481,0.2886927350282933,0.840531561461794,0.0001992114701314,True
2,0.2092800180306552,0.8872180451127819,0.3118150548747476,0.8449612403100775,0.0001968583161128,True
3,0.1886819816600734,0.8988148336944055,0.249617610559907,0.8471760797342193,0.0001929776485888,True
4,0.1600574379352698,0.91971454058876,0.2121627275333848,0.8903654485049833,0.0001876306680043,True
5,0.1370412570636705,0.933605199439276,0.2182922506847255,0.8914728682170543,0.0001809016994374,True
6,0.1286336673727244,0.9398496240601504,0.1972167346366616,0.8914728682170543,0.0001728968627421,False
7,0.1235109912531838,0.9444373645979356,0.2383114142242328,0.8837209302325582,0.0001637423989748,False
8,0.1058911396193135,0.9589652096342552,0.213057031374371,0.901439645625692,0.0001535826794978,True
9,0.0947808460036333,0.9664840066267364,0.2240475960331633,0.903654485049834,0.0001425779291565,True
10,0.0929232373937149,0.9644450108321652,0.2125169768153895,0.903654485049834,0.0001309016994374,False
11,0.0815440813627564,0.9719638078246464,0.2360311785211594,0.8947951273532669,0.0001187381314585,False
12,0.0744574831646043,0.9785905441570026,0.2222374268082421,0.902547065337763,0.0001062790519529,False
13,0.0753321335013047,0.9791002931056456,0.2226370375351784,0.9091915836101884,9.372094804706868e-05,True
14,0.0672889092546163,0.98356059640627,0.2165791779789549,0.9091915836101884,8.126186854142755e-05,False
15,0.0640287299411295,0.98904039760418,0.2050017969618868,0.9102990033222592,6.90983005625053e-05,True
16,0.0570928214830707,0.992353765770358,0.2005582613208365,0.919158361018826,5.742207084349274e-05,True
17,0.0557376647671195,0.9940104498534472,0.1885722539617637,0.9246954595791804,4.641732050210032e-05,True
18,0.0550817689894338,0.99452019880209,0.2039432831578872,0.9224806201550388,3.6257601025131026e-05,False
19,0.0528266145882749,0.9954122594622148,0.1937570429653556,0.9258028792912514,2.7103137257858868e-05,True
20,0.0522235028613778,0.9960494456480184,0.1902725835839247,0.9258028792912514,1.909830056250527e-05,False
21,0.0504817548686833,0.9971963807824646,0.1914488937569615,0.9269102990033222,1.2369331995613644e-05,True
22,0.0507432789258954,0.9965591945966612,0.1915147993981772,0.929125138427464,7.0223514111748665e-06,True
23,0.0502282014363272,0.997451255256786,0.1870437551574453,0.9313399778516056,3.141683887136904e-06,True
24,0.0492548803775473,0.9980884414425896,0.1876213498421813,0.9313399778516056,7.885298685522236e-07,False
25,0.0504805308575461,0.9971963807824646,0.1876635226366395,0.9324473975636768,0.0,True
