epoch,train_loss,train_acc,val_loss,val_acc,lr,saved_best
1,0.3854981663729319,0.7861603160443481,0.2886927350282933,0.840531561461794,0.0001992114701314478,True
2,0.20928001803065524,0.8872180451127819,0.3118150548747476,0.8449612403100775,0.0001968583161128631,True
3,0.1886819816600734,0.8988148336944055,0.24961761055990708,0.8471760797342193,0.00019297764858882514,True
4,0.16005743793526986,0.91971454058876,0.2121627275333848,0.8903654485049833,0.00018763066800438636,True
5,0.13704125706367057,0.9336051994392761,0.2182922506847255,0.8914728682170543,0.00018090169943749476,True
6,0.12863366737272447,0.9398496240601504,0.19721673463666162,0.8914728682170543,0.00017289686274214118,False
7,0.12351099125318381,0.9444373645979355,0.23831141422423283,0.8837209302325582,0.000163742398974869,False
8,0.10589113961931351,0.9589652096342551,0.21305703137437107,0.9014396456256921,0.00015358267949789966,True
9,0.09478084600363337,0.9664840066267363,0.22404759603316338,0.9036544850498339,0.00014257792915650726,True
10,0.09292323739371498,0.9644450108321652,0.2125169768153895,0.9036544850498339,0.00013090169943749474,False
11,0.08154408136275645,0.9719638078246463,0.23603117852115948,0.8947951273532669,0.00011873813145857248,False
12,0.07445748316460435,0.9785905441570026,0.22223742680824213,0.902547065337763,0.00010627905195293135,False
13,0.07533213350130477,0.9791002931056455,0.22263703753517844,0.9091915836101883,9.372094804706867e-05,True
14,0.0672889092546163,0.9835605964062699,0.21657917797895496,0.9091915836101883,8.126186854142755e-05,False
15,0.06402872994112957,0.9890403976041799,0.2050017969618868,0.9102990033222591,6.90983005625053e-05,True
16,0.05709282148307078,0.992353765770358,0.2005582613208365,0.9191583610188261,5.742207084349274e-05,True
17,0.05573766476711954,0.9940104498534472,0.18857225396176377,0.9246954595791805,4.6417320502100316e-05,True
18,0.05508176898943386,0.99452019880209,0.20394328315788726,0.9224806201550387,3.6257601025131026e-05,False
19,0.05282661458827499,0.9954122594622149,0.19375704296535565,0.9258028792912514,2.7103137257858868e-05,True
20,0.05222350286137789,0.9960494456480183,0.19027258358392474,0.9258028792912514,1.909830056250527e-05,False
21,0.05048175486868334,0.9971963807824646,0.1914488937569615,0.9269102990033222,1.2369331995613644e-05,True
22,0.05074327892589542,0.9965591945966611,0.19151479939817723,0.929125138427464,7.0223514111748665e-06,True
23,0.050228201436327266,0.997451255256786,0.18704375515744537,0.9313399778516057,3.141683887136904e-06,True
24,0.049254880377547335,0.9980884414425896,0.18762134984218137,0.9313399778516057,7.885298685522236e-07,False
25,0.05048053085754613,0.9971963807824646,0.18766352263663957,0.9324473975636767,0.0,True
